Data,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Resultado,Alvo,Total_Gols,Media_Gols_Mandante,Media_Gols_Visitante
2012-05-19,Palmeiras,Portuguesa,1.0,1.0,D,0.0,2.0,1.0,1.0
2012-05-19,Sport Recife,Flamengo RJ,1.0,1.0,D,0.0,2.0,1.0,1.0
2012-05-20,Figueirense,Nautico,2.0,1.0,H,1.0,3.0,1.0,1.0
2012-05-20,Botafogo RJ,Sao Paulo,4.0,2.0,H,1.0,6.0,1.0,1.0
2012-05-20,Corinthians,Fluminense,0.0,1.0,A,2.0,1.0,1.0,1.0
2012-05-20,Internacional,Coritiba,2.0,0.0,H,1.0,2.0,1.0,1.0
2012-05-20,Ponte Preta,Atletico-MG,0.0,1.0,A,2.0,1.0,1.0,1.0
2012-05-20,Bahia,Santos,0.0,0.0,D,0.0,0.0,1.0,1.0
2012-05-20,Cruzeiro,Atletico GO,0.0,0.0,D,0.0,0.0,1.0,1.0
2012-05-20,Vasco,Gremio,2.0,1.0,H,1.0,3.0,1.0,1.0
2012-05-26,Atletico GO,Ponte Preta,1.0,1.0,D,0.0,2.0,0.0,0.0
2012-05-26,Flamengo RJ,Internacional,3.0,3.0,D,0.0,6.0,1.0,2.0
2012-05-26,Portuguesa,Vasco,0.0,1.0,A,2.0,1.0,1.0,2.0
2012-05-27,Gremio,Palmeiras,1.0,0.0,H,1.0,1.0,1.0,1.0
2012-05-27,Fluminense,Figueirense,2.0,2.0,D,0.0,4.0,1.0,2.0
2012-05-27,Santos,Sport Recife,0.0,0.0,D,0.0,0.0,0.0,1.0
2012-05-27,Sao Paulo,Bahia,1.0,0.0,H,1.0,1.0,2.0,0.0
2012-05-27,Atletico-MG,Corinthians,1.0,0.0,H,1.0,1.0,1.0,0.0
2012-05-27,Nautico,Cruzeiro,0.0,0.0,D,0.0,0.0,1.0,0.0
2012-05-27,Coritiba,Botafogo RJ,2.0,3.0,A,2.0,5.0,0.0,4.0
2012-06-06,Atletico GO,Gremio,0.0,1.0,A,2.0,1.0,0.5,1.0
2012-06-06,Sport Recife,Palmeiras,2.0,1.0,H,1.0,3.0,0.5,0.5
2012-06-07,Internacional,Sao Paulo,1.0,0.0,H,1.0,1.0,2.5,1.5
2012-06-07,Atletico-MG,Bahia,1.0,1.0,D,0.0,2.0,1.0,0.0
2012-06-07,Coritiba,Portuguesa,2.0,0.0,H,1.0,2.0,1.0,0.5
2012-06-07,Vasco,Nautico,4.0,2.0,H,1.0,6.0,1.5,0.5
